Pre-training the agent...
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.85
solved ratio: 1.0
solved ratio: 1.0
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 0.8
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 1.0
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 1.0
solved ratio: 1.0
solved ratio: 1.0
solved ratio: 1.0
solved ratio: 1.0
solved ratio: 1.0
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 0.8
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.75
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.8
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 1.0
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 1.0
solved ratio: 0.85
solved ratio: 0.8
solved ratio: 0.8
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 0.75
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 0.8
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 1.0
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.8
solved ratio: 0.8
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 0.85
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.8
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 0.85
solved ratio: 0.9
Fine-tunning the agent...
solved ratio: 0.4
solved ratio: 0.65
solved ratio: 0.5
solved ratio: 0.65
solved ratio: 0.6
solved ratio: 0.75
solved ratio: 0.4
solved ratio: 0.55
solved ratio: 0.7
solved ratio: 0.65
solved ratio: 0.5
solved ratio: 0.35
solved ratio: 0.7
solved ratio: 0.5
solved ratio: 0.6
solved ratio: 0.5
solved ratio: 0.75
solved ratio: 0.6
solved ratio: 0.4
solved ratio: 0.4
solved ratio: 0.65
solved ratio: 0.3
solved ratio: 0.55
solved ratio: 0.5
solved ratio: 0.5
solved ratio: 0.6
solved ratio: 0.6
solved ratio: 0.6
solved ratio: 0.45
solved ratio: 0.4
solved ratio: 0.5
solved ratio: 0.75
solved ratio: 0.6
solved ratio: 0.8
solved ratio: 0.75
solved ratio: 0.75
solved ratio: 0.7
solved ratio: 0.45
solved ratio: 0.55
solved ratio: 0.6
solved ratio: 0.65
solved ratio: 0.6
solved ratio: 0.65
solved ratio: 0.6
solved ratio: 0.55
solved ratio: 0.95
solved ratio: 0.8
solved ratio: 0.75
solved ratio: 0.65
solved ratio: 0.7
solved ratio: 0.7
solved ratio: 0.85
solved ratio: 0.85
solved ratio: 0.65
solved ratio: 0.9
solved ratio: 0.8
solved ratio: 0.65
solved ratio: 0.7
solved ratio: 0.65
solved ratio: 0.8
solved ratio: 0.75
solved ratio: 0.65
solved ratio: 0.9
solved ratio: 0.75
solved ratio: 0.85
solved ratio: 0.7
solved ratio: 0.7
solved ratio: 0.9
solved ratio: 0.7
solved ratio: 0.65
solved ratio: 0.7
solved ratio: 0.6
solved ratio: 0.75
solved ratio: 0.75
solved ratio: 0.8
solved ratio: 0.8
solved ratio: 0.8
solved ratio: 0.85
solved ratio: 0.8
solved ratio: 0.8
solved ratio: 0.8
solved ratio: 0.8
solved ratio: 0.75
solved ratio: 0.85
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.8
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.75
solved ratio: 0.7
solved ratio: 1.0
solved ratio: 0.85
solved ratio: 0.85
solved ratio: 0.8
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.85
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.8
solved ratio: 0.65
solved ratio: 0.75
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.85
solved ratio: 1.0
solved ratio: 0.75
solved ratio: 0.9
solved ratio: 0.75
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.65
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.7
solved ratio: 1.0
solved ratio: 0.8
solved ratio: 0.75
solved ratio: 0.8
solved ratio: 0.75
solved ratio: 0.95
solved ratio: 0.8
solved ratio: 0.8
solved ratio: 0.65
solved ratio: 0.9
solved ratio: 0.8
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.8
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.8
solved ratio: 0.55
solved ratio: 0.65
solved ratio: 0.85
solved ratio: 0.85
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.8
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.8
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.65
solved ratio: 0.7
solved ratio: 0.85
solved ratio: 0.85
solved ratio: 0.7
solved ratio: 0.85
solved ratio: 0.8
solved ratio: 0.7
solved ratio: 0.85
solved ratio: 0.85
solved ratio: 0.8
solved ratio: 0.7
solved ratio: 0.75
solved ratio: 0.85
solved ratio: 0.8
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.65
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.8
solved ratio: 0.8
solved ratio: 0.9
solved ratio: 0.8
solved ratio: 0.8
solved ratio: 0.8
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.8
solved ratio: 0.9
solved ratio: 0.8
solved ratio: 1.0
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 0.75
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.85
solved ratio: 1.0
solved ratio: 0.75
solved ratio: 0.9
solved ratio: 0.75
solved ratio: 0.8
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.8
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.75
solved ratio: 0.8
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.85
solved ratio: 1.0
solved ratio: 0.85
solved ratio: 0.8
solved ratio: 0.75
solved ratio: 0.9
solved ratio: 0.75
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 0.8
solved ratio: 1.0
solved ratio: 0.75
solved ratio: 0.8
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.8
solved ratio: 0.8
solved ratio: 0.85
solved ratio: 0.85
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.7
solved ratio: 0.8
solved ratio: 0.8
solved ratio: 0.75
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.7
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 0.8
solved ratio: 0.85
solved ratio: 1.0
solved ratio: 0.75
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 1.0
solved ratio: 0.8
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.8
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.75
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.7
solved ratio: 0.85
solved ratio: 0.85
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.8
solved ratio: 0.75
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.8
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.85
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 0.8
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.8
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.75
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.75
solved ratio: 0.75
solved ratio: 0.75
solved ratio: 0.85
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.75
solved ratio: 0.8
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.8
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.8
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.75
solved ratio: 0.95
solved ratio: 0.8
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 0.75
solved ratio: 0.95
solved ratio: 0.75
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.85
solved ratio: 0.8
solved ratio: 0.95
solved ratio: 0.8
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.8
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.8
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.8
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 1.0
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.8
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.75
solved ratio: 0.8
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.75
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.8
solved ratio: 0.7
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.8
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 1.0
Pre-training the agent...
solved ratio: 0.35
solved ratio: 0.55
solved ratio: 0.3
solved ratio: 0.55
solved ratio: 0.7
solved ratio: 0.6
solved ratio: 0.4
solved ratio: 0.55
solved ratio: 0.3
solved ratio: 0.4
solved ratio: 0.45
solved ratio: 0.55
solved ratio: 0.55
solved ratio: 0.6
solved ratio: 0.35
solved ratio: 0.55
solved ratio: 0.45
solved ratio: 0.4
solved ratio: 0.65
solved ratio: 0.55
solved ratio: 0.35
solved ratio: 0.55
solved ratio: 0.35
solved ratio: 0.35
solved ratio: 0.55
solved ratio: 0.5
solved ratio: 0.6
solved ratio: 0.5
solved ratio: 0.65
solved ratio: 0.5
solved ratio: 0.35
solved ratio: 0.55
solved ratio: 0.5
solved ratio: 0.6
solved ratio: 0.45
solved ratio: 0.35
solved ratio: 0.5
solved ratio: 0.55
solved ratio: 0.45
solved ratio: 0.75
solved ratio: 0.65
solved ratio: 0.5
solved ratio: 0.65
solved ratio: 0.65
solved ratio: 0.8
solved ratio: 0.9
solved ratio: 0.8
solved ratio: 0.7
solved ratio: 0.65
solved ratio: 0.8
solved ratio: 0.95
solved ratio: 0.8
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.8
solved ratio: 0.7
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.7
solved ratio: 0.8
solved ratio: 0.85
solved ratio: 0.75
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 0.7
solved ratio: 0.8
solved ratio: 0.75
solved ratio: 0.8
solved ratio: 0.9
solved ratio: 0.65
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 0.75
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.75
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.8
solved ratio: 0.75
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 0.8
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.8
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.85
solved ratio: 0.85
solved ratio: 0.85
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.8
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 1.0
solved ratio: 1.0
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 0.8
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 1.0
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 1.0
solved ratio: 0.8
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.95
solved ratio: 0.8
solved ratio: 0.9
solved ratio: 0.85
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.95
solved ratio: 0.9
solved ratio: 0.9
